time_ns,link_src_device,link_dst_device,node_id,comm_src,comm_dst,comm_tag,original_bytes,effective_bytes,quantized,congestion_level,quant_ratio,queue_threshold
10,0,1,0,0,1,500000000,32768,16384,1,1,0.5,1
10,1,2,0,1,2,500000000,32768,16384,1,1,0.5,1
10,2,3,0,2,3,500000000,32768,16384,1,1,0.5,1
10,3,4,0,3,4,500000000,32768,16384,1,1,0.5,1
10,4,5,0,4,5,500000000,32768,16384,1,1,0.5,1
10,5,6,0,5,6,500000000,32768,16384,1,1,0.5,1
10,6,7,0,6,7,500000000,32768,16384,1,1,0.5,1
10,7,0,0,7,0,500000000,32768,16384,1,1,0.5,1
885,1,2,0,1,2,500000000,32768,16384,1,1,0.5,1
885,2,3,0,2,3,500000000,32768,16384,1,1,0.5,1
885,3,4,0,3,4,500000000,32768,16384,1,1,0.5,1
885,4,5,0,4,5,500000000,32768,16384,1,1,0.5,1
885,5,6,0,5,6,500000000,32768,16384,1,1,0.5,1
885,6,7,0,6,7,500000000,32768,16384,1,1,0.5,1
885,7,0,0,7,0,500000000,32768,16384,1,1,0.5,1
885,0,1,0,0,1,500000000,32768,16384,1,1,0.5,1
1760,2,3,0,2,3,500000000,32768,16384,1,1,0.5,1
1760,3,4,0,3,4,500000000,32768,16384,1,1,0.5,1
1760,4,5,0,4,5,500000000,32768,16384,1,1,0.5,1
1760,5,6,0,5,6,500000000,32768,16384,1,1,0.5,1
1760,6,7,0,6,7,500000000,32768,16384,1,1,0.5,1
1760,7,0,0,7,0,500000000,32768,16384,1,1,0.5,1
1760,0,1,0,0,1,500000000,32768,16384,1,1,0.5,1
1760,1,2,0,1,2,500000000,32768,16384,1,1,0.5,1
2635,3,4,0,3,4,500000000,32768,16384,1,1,0.5,1
2635,4,5,0,4,5,500000000,32768,16384,1,1,0.5,1
2635,5,6,0,5,6,500000000,32768,16384,1,1,0.5,1
2635,6,7,0,6,7,500000000,32768,16384,1,1,0.5,1
2635,7,0,0,7,0,500000000,32768,16384,1,1,0.5,1
2635,0,1,0,0,1,500000000,32768,16384,1,1,0.5,1
2635,1,2,0,1,2,500000000,32768,16384,1,1,0.5,1
2635,2,3,0,2,3,500000000,32768,16384,1,1,0.5,1
3510,4,5,0,4,5,500000000,32768,16384,1,1,0.5,1
3510,5,6,0,5,6,500000000,32768,16384,1,1,0.5,1
3510,6,7,0,6,7,500000000,32768,16384,1,1,0.5,1
3510,7,0,0,7,0,500000000,32768,16384,1,1,0.5,1
3510,0,1,0,0,1,500000000,32768,16384,1,1,0.5,1
3510,1,2,0,1,2,500000000,32768,16384,1,1,0.5,1
3510,2,3,0,2,3,500000000,32768,16384,1,1,0.5,1
3510,3,4,0,3,4,500000000,32768,16384,1,1,0.5,1
4385,5,6,0,5,6,500000000,32768,16384,1,1,0.5,1
4385,6,7,0,6,7,500000000,32768,16384,1,1,0.5,1
4385,7,0,0,7,0,500000000,32768,16384,1,1,0.5,1
4385,0,1,0,0,1,500000000,32768,16384,1,1,0.5,1
4385,1,2,0,1,2,500000000,32768,16384,1,1,0.5,1
4385,2,3,0,2,3,500000000,32768,16384,1,1,0.5,1
4385,3,4,0,3,4,500000000,32768,16384,1,1,0.5,1
4385,4,5,0,4,5,500000000,32768,16384,1,1,0.5,1
5260,6,7,0,6,7,500000000,32768,16384,1,1,0.5,1
5260,7,0,0,7,0,500000000,32768,16384,1,1,0.5,1
5260,0,1,0,0,1,500000000,32768,16384,1,1,0.5,1
5260,1,2,0,1,2,500000000,32768,16384,1,1,0.5,1
5260,2,3,0,2,3,500000000,32768,16384,1,1,0.5,1
5260,3,4,0,3,4,500000000,32768,16384,1,1,0.5,1
5260,4,5,0,4,5,500000000,32768,16384,1,1,0.5,1
