time_ns,link_src_device,link_dst_device,node_id,comm_src,comm_dst,comm_tag,original_bytes,effective_bytes,quantized,congestion_level,quant_ratio,queue_threshold
10,0,1,0,0,1,500000000,32768,8192,1,1,0.25,0
10,1,2,0,1,2,500000000,32768,8192,1,1,0.25,0
10,2,3,0,2,3,500000000,32768,8192,1,1,0.25,0
10,3,4,0,3,4,500000000,32768,8192,1,1,0.25,0
10,4,5,0,4,5,500000000,32768,8192,1,1,0.25,0
10,5,6,0,5,6,500000000,32768,8192,1,1,0.25,0
10,6,7,0,6,7,500000000,32768,8192,1,1,0.25,0
10,7,0,0,7,0,500000000,32768,8192,1,1,0.25,0
732,1,2,0,1,2,500000000,32768,8192,1,1,0.25,0
732,2,3,0,2,3,500000000,32768,8192,1,1,0.25,0
732,3,4,0,3,4,500000000,32768,8192,1,1,0.25,0
732,4,5,0,4,5,500000000,32768,8192,1,1,0.25,0
732,5,6,0,5,6,500000000,32768,8192,1,1,0.25,0
732,6,7,0,6,7,500000000,32768,8192,1,1,0.25,0
732,7,0,0,7,0,500000000,32768,8192,1,1,0.25,0
732,0,1,0,0,1,500000000,32768,8192,1,1,0.25,0
1454,2,3,0,2,3,500000000,32768,8192,1,1,0.25,0
1454,3,4,0,3,4,500000000,32768,8192,1,1,0.25,0
1454,4,5,0,4,5,500000000,32768,8192,1,1,0.25,0
1454,5,6,0,5,6,500000000,32768,8192,1,1,0.25,0
1454,6,7,0,6,7,500000000,32768,8192,1,1,0.25,0
1454,7,0,0,7,0,500000000,32768,8192,1,1,0.25,0
1454,0,1,0,0,1,500000000,32768,8192,1,1,0.25,0
1454,1,2,0,1,2,500000000,32768,8192,1,1,0.25,0
2176,3,4,0,3,4,500000000,32768,8192,1,1,0.25,0
2176,4,5,0,4,5,500000000,32768,8192,1,1,0.25,0
2176,5,6,0,5,6,500000000,32768,8192,1,1,0.25,0
2176,6,7,0,6,7,500000000,32768,8192,1,1,0.25,0
2176,7,0,0,7,0,500000000,32768,8192,1,1,0.25,0
2176,0,1,0,0,1,500000000,32768,8192,1,1,0.25,0
2176,1,2,0,1,2,500000000,32768,8192,1,1,0.25,0
2176,2,3,0,2,3,500000000,32768,8192,1,1,0.25,0
2898,4,5,0,4,5,500000000,32768,8192,1,1,0.25,0
2898,5,6,0,5,6,500000000,32768,8192,1,1,0.25,0
