time_ns,link_src_device,link_dst_device,node_id,comm_src,comm_dst,comm_tag,original_bytes,effective_bytes,quantized,congestion_level,quant_ratio,queue_threshold
10,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
10,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
10,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
10,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
10,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
10,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
10,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
10,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
573,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
573,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
573,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
573,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
573,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
573,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
573,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
573,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
1136,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
1136,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
1136,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
1136,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
1136,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
1136,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
1136,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
1136,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
1699,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
1699,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
1699,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
1699,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
1699,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
1699,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
1699,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
1699,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
2262,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
2262,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
2262,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
2262,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
2262,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
2262,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
2262,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
2262,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
2825,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
2825,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
2825,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
2825,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
2825,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
2825,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
2825,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
2825,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
3388,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
3388,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
3388,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
3388,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
3388,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
3388,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
3388,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
3388,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
3951,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
3951,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
3951,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
3951,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
3951,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
3951,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
3951,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
3951,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
4499,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
4499,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
4499,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
4499,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
4499,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
4499,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
4499,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
4499,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
