time_ns,link_src_device,link_dst_device,node_id,comm_src,comm_dst,comm_tag,original_bytes,effective_bytes,quantized,congestion_level,quant_ratio,queue_threshold
10,0,1,0,0,1,500000000,8192,8192,0,1,1,18446744073709551615
10,1,2,0,1,2,500000000,8192,8192,0,1,1,18446744073709551615
10,2,3,0,2,3,500000000,8192,8192,0,1,1,18446744073709551615
10,3,4,0,3,4,500000000,8192,8192,0,1,1,18446744073709551615
10,4,5,0,4,5,500000000,8192,8192,0,1,1,18446744073709551615
10,5,6,0,5,6,500000000,8192,8192,0,1,1,18446744073709551615
10,6,7,0,6,7,500000000,8192,8192,0,1,1,18446744073709551615
10,7,0,0,7,0,500000000,8192,8192,0,1,1,18446744073709551615
687,1,2,0,1,2,500000000,8192,8192,0,1,1,18446744073709551615
687,2,3,0,2,3,500000000,8192,8192,0,1,1,18446744073709551615
687,3,4,0,3,4,500000000,8192,8192,0,1,1,18446744073709551615
687,4,5,0,4,5,500000000,8192,8192,0,1,1,18446744073709551615
687,5,6,0,5,6,500000000,8192,8192,0,1,1,18446744073709551615
687,6,7,0,6,7,500000000,8192,8192,0,1,1,18446744073709551615
687,7,0,0,7,0,500000000,8192,8192,0,1,1,18446744073709551615
687,0,1,0,0,1,500000000,8192,8192,0,1,1,18446744073709551615
1364,2,3,0,2,3,500000000,8192,8192,0,1,1,18446744073709551615
1364,3,4,0,3,4,500000000,8192,8192,0,1,1,18446744073709551615
1364,4,5,0,4,5,500000000,8192,8192,0,1,1,18446744073709551615
1364,5,6,0,5,6,500000000,8192,8192,0,1,1,18446744073709551615
1364,6,7,0,6,7,500000000,8192,8192,0,1,1,18446744073709551615
1364,7,0,0,7,0,500000000,8192,8192,0,1,1,18446744073709551615
1364,0,1,0,0,1,500000000,8192,8192,0,1,1,18446744073709551615
1364,1,2,0,1,2,500000000,8192,8192,0,1,1,18446744073709551615
2041,3,4,0,3,4,500000000,8192,8192,0,1,1,18446744073709551615
2041,4,5,0,4,5,500000000,8192,8192,0,1,1,18446744073709551615
2041,5,6,0,5,6,500000000,8192,8192,0,1,1,18446744073709551615
2041,6,7,0,6,7,500000000,8192,8192,0,1,1,18446744073709551615
2041,7,0,0,7,0,500000000,8192,8192,0,1,1,18446744073709551615
2041,0,1,0,0,1,500000000,8192,8192,0,1,1,18446744073709551615
2041,1,2,0,1,2,500000000,8192,8192,0,1,1,18446744073709551615
2041,2,3,0,2,3,500000000,8192,8192,0,1,1,18446744073709551615
2718,4,5,0,4,5,500000000,8192,8192,0,1,1,18446744073709551615
2718,5,6,0,5,6,500000000,8192,8192,0,1,1,18446744073709551615
2718,6,7,0,6,7,500000000,8192,8192,0,1,1,18446744073709551615
2718,7,0,0,7,0,500000000,8192,8192,0,1,1,18446744073709551615
2718,0,1,0,0,1,500000000,8192,8192,0,1,1,18446744073709551615
2718,1,2,0,1,2,500000000,8192,8192,0,1,1,18446744073709551615
2718,2,3,0,2,3,500000000,8192,8192,0,1,1,18446744073709551615
2718,3,4,0,3,4,500000000,8192,8192,0,1,1,18446744073709551615
3395,5,6,0,5,6,500000000,8192,8192,0,1,1,18446744073709551615
3395,6,7,0,6,7,500000000,8192,8192,0,1,1,18446744073709551615
3395,7,0,0,7,0,500000000,8192,8192,0,1,1,18446744073709551615
3395,0,1,0,0,1,500000000,8192,8192,0,1,1,18446744073709551615
3395,1,2,0,1,2,500000000,8192,8192,0,1,1,18446744073709551615
3395,2,3,0,2,3,500000000,8192,8192,0,1,1,18446744073709551615
3395,3,4,0,3,4,500000000,8192,8192,0,1,1,18446744073709551615
