time_ns,link_src_device,link_dst_device,node_id,comm_src,comm_dst,comm_tag,original_bytes,effective_bytes,quantized,congestion_level,quant_ratio,queue_threshold
10,0,1,0,0,1,500000000,8192,4096,1,1,0.5,1
10,1,2,0,1,2,500000000,8192,4096,1,1,0.5,1
10,2,3,0,2,3,500000000,8192,4096,1,1,0.5,1
10,3,4,0,3,4,500000000,8192,4096,1,1,0.5,1
10,4,5,0,4,5,500000000,8192,4096,1,1,0.5,1
10,5,6,0,5,6,500000000,8192,4096,1,1,0.5,1
10,6,7,0,6,7,500000000,8192,4096,1,1,0.5,1
10,7,0,0,7,0,500000000,8192,4096,1,1,0.5,1
611,1,2,0,1,2,500000000,8192,4096,1,1,0.5,1
611,2,3,0,2,3,500000000,8192,4096,1,1,0.5,1
611,3,4,0,3,4,500000000,8192,4096,1,1,0.5,1
611,4,5,0,4,5,500000000,8192,4096,1,1,0.5,1
611,5,6,0,5,6,500000000,8192,4096,1,1,0.5,1
611,6,7,0,6,7,500000000,8192,4096,1,1,0.5,1
611,7,0,0,7,0,500000000,8192,4096,1,1,0.5,1
611,0,1,0,0,1,500000000,8192,4096,1,1,0.5,1
1212,2,3,0,2,3,500000000,8192,4096,1,1,0.5,1
1212,3,4,0,3,4,500000000,8192,4096,1,1,0.5,1
1212,4,5,0,4,5,500000000,8192,4096,1,1,0.5,1
1212,5,6,0,5,6,500000000,8192,4096,1,1,0.5,1
1212,6,7,0,6,7,500000000,8192,4096,1,1,0.5,1
1212,7,0,0,7,0,500000000,8192,4096,1,1,0.5,1
1212,0,1,0,0,1,500000000,8192,4096,1,1,0.5,1
1212,1,2,0,1,2,500000000,8192,4096,1,1,0.5,1
1813,3,4,0,3,4,500000000,8192,4096,1,1,0.5,1
1813,4,5,0,4,5,500000000,8192,4096,1,1,0.5,1
1813,5,6,0,5,6,500000000,8192,4096,1,1,0.5,1
1813,6,7,0,6,7,500000000,8192,4096,1,1,0.5,1
1813,7,0,0,7,0,500000000,8192,4096,1,1,0.5,1
1813,0,1,0,0,1,500000000,8192,4096,1,1,0.5,1
1813,1,2,0,1,2,500000000,8192,4096,1,1,0.5,1
1813,2,3,0,2,3,500000000,8192,4096,1,1,0.5,1
2414,4,5,0,4,5,500000000,8192,4096,1,1,0.5,1
2414,5,6,0,5,6,500000000,8192,4096,1,1,0.5,1
2414,6,7,0,6,7,500000000,8192,4096,1,1,0.5,1
2414,7,0,0,7,0,500000000,8192,4096,1,1,0.5,1
2414,0,1,0,0,1,500000000,8192,4096,1,1,0.5,1
2414,1,2,0,1,2,500000000,8192,4096,1,1,0.5,1
2414,2,3,0,2,3,500000000,8192,4096,1,1,0.5,1
2414,3,4,0,3,4,500000000,8192,4096,1,1,0.5,1
3015,5,6,0,5,6,500000000,8192,4096,1,1,0.5,1
3015,6,7,0,6,7,500000000,8192,4096,1,1,0.5,1
